State,County,Total Population,Young Children (0–4 years),Children (5–14 years),Adolescents (15–19 years),Young Adults (20–24 years),Emerging Workforce (25–34 years),Prime Working Age (35–54 years),Pre-Retirement (55–64 years),Seniors (65+ years),Diversity Index,Hispanic or Latino Population,Non-Hispanic or Latino Population,Hispanic or Latino Percentage,Non-Hispanic or Latino Percentage,State_Abbr
Alaska,Chugach Census Area,6964.0,462.0,861.0,388.0,392.0,1079.0,1769.0,1102.0,911.0,0.454901815556892,359.0,6605.0,5.1550832854681214,94.84491671453188,AK
Alaska,Copper River Census Area,2626.0,180.0,400.0,131.0,74.0,219.0,610.0,435.0,577.0,0.5808689135361482,102.0,2524.0,3.8842345773038844,96.11576542269611,AK
Alaska,Denali Borough,2029.0,79.0,147.0,76.0,64.0,347.0,829.0,211.0,276.0,0.37340864026567944,131.0,1898.0,6.45638245441104,93.54361754558896,AK
Alaska,Dillingham Census Area,4780.0,414.0,838.0,340.0,325.0,737.0,935.0,597.0,594.0,0.44807452600619724,164.0,4616.0,3.430962343096234,96.56903765690376,AK
Alaska,Fairbanks North Star Borough,95555.0,6778.0,12820.0,5652.0,9098.0,17015.0,22575.0,9932.0,11685.0,0.4784743347746312,7825.0,87730.0,8.189001098843598,91.8109989011564,AK
Alaska,Haines Borough,2077.0,61.0,298.0,107.0,30.0,110.0,547.0,367.0,557.0,0.35769341590925574,83.0,1994.0,3.996148290804044,96.00385170919596,AK
Alaska,Hoonah-Angoon Census Area,2313.0,83.0,201.0,109.0,160.0,243.0,502.0,382.0,633.0,0.6298335560449042,250.0,2063.0,10.8084738434933,89.1915261565067,AK
Alaska,Juneau City and Borough,31969.0,1586.0,3818.0,2060.0,1607.0,4542.0,8992.0,4524.0,4840.0,0.5555716036693055,2234.0,29735.0,6.988019644030154,93.01198035596984,AK
Alaska,Kenai Peninsula Borough,59843.0,3385.0,7602.0,3584.0,2820.0,7697.0,14536.0,8641.0,11578.0,0.3597851052890516,2547.0,57296.0,4.256136891532845,95.74386310846715,AK
Alaska,Ketchikan Gateway Borough,13870.0,654.0,1719.0,786.0,726.0,1976.0,3595.0,2016.0,2398.0,0.5549833477927962,730.0,13140.0,5.2631578947368425,94.73684210526316,AK
Alaska,Kodiak Island Borough,12878.0,724.0,1965.0,825.0,908.0,1808.0,3330.0,1696.0,1622.0,0.6592505229226477,1051.0,11827.0,8.161205156080136,91.83879484391986,AK
Alaska,Kusilvak Census Area,8277.0,1074.0,1902.0,747.0,560.0,1176.0,1520.0,767.0,531.0,0.24430851724018998,136.0,8141.0,1.6431074060649995,98.356892593935,AK
Alaska,Lake and Peninsula Borough,1007.0,72.0,164.0,86.0,33.0,216.0,222.0,113.0,101.0,0.6212106121104601,11.0,996.0,1.0923535253227408,98.90764647467726,AK
Alaska,Matanuska-Susitna Borough,110677.0,7044.0,16604.0,7638.0,6303.0,15425.0,28900.0,14050.0,14713.0,0.37089628290101484,5748.0,104929.0,5.19349096921673,94.80650903078327,AK
Alaska,Nome Census Area,9925.0,858.0,1965.0,814.0,741.0,1433.0,2289.0,989.0,836.0,0.4054840116998394,207.0,9718.0,2.0856423173803527,97.91435768261965,AK
Alaska,North Slope Borough,10891.0,636.0,1566.0,778.0,609.0,1786.0,3180.0,1478.0,858.0,0.6574840426981728,578.0,10313.0,5.307134331099073,94.69286566890092,AK
Alaska,Northwest Arctic Borough,7611.0,788.0,1642.0,631.0,466.0,1140.0,1531.0,774.0,639.0,0.340605428654296,159.0,7452.0,2.0890815924320063,97.91091840756799,AK
Alaska,Petersburg Borough,3394.0,154.0,399.0,168.0,207.0,322.0,835.0,563.0,746.0,0.5782491130488168,303.0,3091.0,8.927519151443724,91.07248084855628,AK
Alaska,Prince of Wales-Hyder Census Area,5730.0,299.0,704.0,355.0,274.0,637.0,1344.0,953.0,1164.0,0.6401753119584319,207.0,5523.0,3.612565445026178,96.38743455497382,AK
Alaska,Sitka City and Borough,8393.0,385.0,967.0,464.0,476.0,1249.0,2187.0,1216.0,1449.0,0.5710725928906872,575.0,7818.0,6.850947217919695,93.1490527820803,AK
Alaska,Skagway Municipality,1308.0,65.0,92.0,35.0,78.0,218.0,428.0,159.0,233.0,0.48170281214637756,64.0,1244.0,4.892966360856269,95.10703363914374,AK
Alaska,Southeast Fairbanks Census Area,6936.0,500.0,992.0,381.0,389.0,868.0,1832.0,875.0,1099.0,0.39925491958775483,402.0,6534.0,5.795847750865052,94.20415224913495,AK
Alaska,Wrangell City and Borough,2106.0,137.0,230.0,103.0,121.0,290.0,443.0,279.0,503.0,0.6173912729784841,116.0,1990.0,5.5080721747388415,94.49192782526116,AK
